id,name,volunteers_needed,description
1,Get Supplies,1,"We need rakes, shovels, trash bags, gloves, and a first aid kit"
2,Bring Snacks,1,"We'll need plenty of water, trail mix, and maybe lemonade"
3,Volunteer Check-in,3,Someone needs to confirm which volunteers are present
4,Separate Recyclables,1,Go through the unsorted items and identify which can be recycled
5,Haul Trash,1,Person responsible for taking the trash to the landfill
6,Haul Recyclables,1,Person responsible for taking recyclables to the recycling center
7,First Aid,2,Person with some skills and heart
8,After Party Coordination,1,Someone should book a big table for us to celebrate afterward
9,Transportation,2,We need a volunteer with a big car or van to drive
10,Playground Repair,1,Someone who can fix things needs to look at the swing set
11,Green Thumb,1,We would love to have some flowers planted in the park
12,Mowing,1,There are several areas that need mowed. Do you have a big mower?
13,Edging,1,If you have a trimmer you're our hero!
14,Get Donated Plants,2,Can you convince area greenhouses to give us plants to plant?
15,Paparazzi,2,We would love to have someone document this
16,Social Media Guru,2,Can you help advertise this event and bring in more volunteers?
